Name                                                    Stmts   Miss  Cover
src/msb_v3/meta/outcome/__init__.py                         2      0   100%
src/msb_v3/meta/outcome/ledger.py                         117      3    97%
src/msb_v3/meta/pipeline.py                               145      6    96%
src/msb_v3/meta/policy/__init__.py                          3      0   100%
src/msb_v3/meta/policy/execution_policy.py                 64      0   100%
src/msb_v3/meta/policy/policy_router.py                    83      2    98%
src/msb_v3/meta/probability/__init__.py                     3      0   100%
src/msb_v3/meta/probability/historical_performance.py      62      1    98%
src/msb_v3/meta/probability/routing_matrix.py              81      6    93%
src/msb_v3/meta/routing/__init__.py                         6      0   100%
src/msb_v3/meta/routing/capability_matcher.py              73      6    92%
src/msb_v3/meta/routing/route_decision.py                  45      0   100%
src/msb_v3/meta/routing/router.py                          51      6    88%
src/msb_v3/meta/routing/skill_bridge.py                    97      5    95%
src/msb_v3/meta/routing/skill_registry.py                  94     38    60%
src/msb_v3/meta/routing/worker_registry.py                 96     20    79%
src/msb_v3/meta/scheduler.py                               60      0   100%
src/msb_v3/meta/translation/__init__.py                     5      0   100%
src/msb_v3/meta/translation/context_compiler.py           137     23    83%
src/msb_v3/meta/translation/import_graph.py               133      2    98%
src/msb_v3/meta/translation/model_task.py                  62      0   100%
src/msb_v3/meta/translation/task_translator.py             63      8    87%
src/msb_v3/meta/verification/__init__.py                    3      0   100%
src/msb_v3/meta/verification/gate.py                       70      0   100%
src/msb_v3/meta/verification/strategies.py                 73     10    86%
src/msb_v3/meta/verify.py                                  28      2    93%
src/msb_v3/meta/worker.py                                  47      5    89%
src/msb_v3/moie/__init__.py                                 5      0   100%
src/msb_v3/moie/__main__.py                                 5      5     0%
src/msb_v3/moie/cli.py                                    113      7    94%
src/msb_v3/moie/engine.py                                  49      2    96%
src/msb_v3/moie/experts.py                                145      3    98%
src/msb_v3/moie/llm_experts.py                            131     11    92%
src/msb_v3/moie/merger.py                                  23      4    83%
src/msb_v3/moie/meta_critic.py                             70      1    99%
src/msb_v3/moie/models.py                                  67      1    99%
src/msb_v3/moie/pipeline.py                                59      2    97%
src/msb_v3/moie/router.py                                  17      0   100%
src/msb_v3/node/__init__.py                                 2      0   100%
src/msb_v3/node/api.py                                     48      8    83%
src/msb_v3/node/approval.py                                41     16    61%
src/msb_v3/node/crypto.py                                  35      2    94%
src/msb_v3/node/filesystem.py                             120     13    89%
src/msb_v3/node/identity.py                               135     25    81%
src/msb_v3/node/models.py                                  32      0   100%
src/msb_v3/node/policy.py                                  51      3    94%
src/msb_v3/node/protocol.py                                15      0   100%
src/msb_v3/node/service.py                                 82      7    91%
src/msb_v3/observability/audit.py                         100      8    92%
src/msb_v3/observability/audit_log.py                      18      0   100%
src/msb_v3/observability/metrics.py                        64      8    88%
src/msb_v3/observability/soak.py                          168     17    90%
src/msb_v3/ops/__init__.py                                  0      0   100%
src/msb_v3/ops/__main__.py                                 33      3    91%
src/msb_v3/ops/auto_repair.py                             251     62    75%
src/msb_v3/ops/backup.py                                  118      5    96%
src/msb_v3/ops/discrepancy.py                             245     72    71%
src/msb_v3/ops/repair.py                                  331     69    79%
src/msb_v3/ops/root_cause.py                              235     26    89%
src/msb_v3/ops/verify.py                                  227     50    78%
src/msb_v3/plei/__init__.py                                 2      0   100%
src/msb_v3/plei/api.py                                    270    192    29%
src/msb_v3/plei/calibration/__init__.py                     0      0   100%
src/msb_v3/plei/calibration/ci_pipeline.py                178     12    93%
src/msb_v3/plei/calibration/error.py                      120      6    95%
src/msb_v3/plei/calibration/feedback.py                    71      1    99%
src/msb_v3/plei/calibration/reliability.py                 80      4    95%
src/msb_v3/plei/calibration/scheduler.py                   74     13    82%
src/msb_v3/plei/calibration/store.py                      171     14    92%
src/msb_v3/plei/cli.py                                    183    183     0%
src/msb_v3/plei/decisions/__init__.py                       0      0   100%
src/msb_v3/plei/decisions/next_action.py                   68      5    93%
src/msb_v3/plei/decisions/prioritization.py                82     13    84%
src/msb_v3/plei/decisions/provider_selection.py            88      5    94%
src/msb_v3/plei/decisions/tradeoffs.py                     49      0   100%
src/msb_v3/plei/dependency/__init__.py                      1      0   100%
src/msb_v3/plei/dependency/graph.py                       182     31    83%
src/msb_v3/plei/engineering/__init__.py                     1      0   100%
src/msb_v3/plei/engineering/capability_graph.py            61      6    90%
src/msb_v3/plei/engineering/gap_detector.py                87      6    93%
src/msb_v3/plei/engineering/skill_taxonomy.py             124     22    82%
src/msb_v3/plei/harness/__init__.py                         0      0   100%
src/msb_v3/plei/harness/bridge.py                         131     15    89%
src/msb_v3/plei/harness/evidence_loop.py                  101     16    84%
src/msb_v3/plei/harness/work_plan.py                       78      0   100%
src/msb_v3/plei/ingestion/__init__.py                       1      0   100%
src/msb_v3/plei/ingestion/configuration.py                 45      5    89%
src/msb_v3/plei/ingestion/dependencies.py                  50      6    88%
src/msb_v3/plei/ingestion/documentation.py                 88     11    88%
src/msb_v3/plei/ingestion/evidence.py                      49      7    86%
src/msb_v3/plei/ingestion/repository.py                    64     18    72%
src/msb_v3/plei/ingestion/source.py                        69      8    88%
src/msb_v3/plei/ingestion/tests.py                         42      7    83%
src/msb_v3/plei/lifecycle.py                               85     22    74%
src/msb_v3/plei/orchestrator.py                           183     21    89%
src/msb_v3/plei/provenance.py                              36      3    92%
src/msb_v3/plei/risk/__init__.py                            1      0   100%
src/msb_v3/plei/risk/debt_model.py                         56      8    86%
src/msb_v3/plei/risk/failure_model.py                      72     12    83%
src/msb_v3/plei/risk/report.py                             56      9    84%
src/msb_v3/plei/simulation/__init__.py                      1      0   100%
src/msb_v3/plei/simulation/distributions.py               106     19    82%
src/msb_v3/plei/simulation/forecast.py                     67     12    82%
src/msb_v3/plei/simulation/monte_carlo.py                 139      6    96%
src/msb_v3/plei/simulation/scenarios.py                    79      7    91%
src/msb_v3/plei/simulation/sensitivity.py                  44      0   100%
src/msb_v3/plei/twin.py                                    48      1    98%
src/msb_v3/replay/__init__.py                               2      0   100%
src/msb_v3/replay/engine.py                                64      5    92%
src/msb_v3/retrieval/__init__.py                            0      0   100%
src/msb_v3/retrieval/engine.py                             28      0   100%
src/msb_v3/retrieval/fusion.py                             20      0   100%
src/msb_v3/retrieval/indexes.py                            78     10    87%
src/msb_v3/retrieval/planner.py                            27      0   100%
src/msb_v3/retrieval/vector_store.py                      216     36    83%
src/msb_v3/runtime/store.py                                58      2    97%
src/msb_v3/speech/__init__.py                               0      0   100%
src/msb_v3/speech/audio.py                                 96     17    82%
src/msb_v3/speech/bargein.py                               82     15    82%
src/msb_v3/speech/capture.py                               81     43    47%
src/msb_v3/speech/conversation.py                          87      4    95%
src/msb_v3/speech/intent.py                                37      0   100%
src/msb_v3/speech/models.py                                54      0   100%
src/msb_v3/speech/pipeline.py                              61     15    75%
src/msb_v3/speech/response.py                             195     58    70%
src/msb_v3/speech/safety.py                               138      5    96%
src/msb_v3/speech/speaker.py                               79     19    76%
src/msb_v3/speech/stream.py                                93     33    65%
src/msb_v3/speech/transcribe.py                            65     54    17%
src/msb_v3/speech/tts/__init__.py                           0      0   100%
src/msb_v3/speech/tts/engine.py                            53     10    81%
src/msb_v3/speech/vad.py                                  112     36    68%
src/msb_v3/speech/wakeword.py                              81      1    99%
src/msb_v3/steward/__init__.py                              2      0   100%
src/msb_v3/steward/__main__.py                             39     39     0%
src/msb_v3/steward/state.py                               109     16    85%
src/msb_v3/tasks/__init__.py                                0      0   100%
src/msb_v3/tasks/events.py                                 17      2    88%
src/msb_v3/tasks/lifecycle.py                             140     10    93%
src/msb_v3/tasks/models.py                                 58      8    86%
src/msb_v3/tasks/observations.py                           36      8    78%
src/msb_v3/tools/__init__.py                                0      0   100%
src/msb_v3/tools/executors.py                             445    114    74%
src/msb_v3/tools/registry.py                               23      0   100%
