WARNING:pip_audit._cli:--no-deps is supported, but users are encouraged to fully hash their pinned dependencies
WARNING:pip_audit._cli:Consider using a tool like `pip-compile`: https://pip-tools.readthedocs.io/en/latest/#using-hashes
Found 428 known vulnerabilities in 49 packages
Name             Version ID                  Fix Versions
---------------- ------- ------------------- ------------
mcp              1.26.0  PYSEC-2026-3481     1.27.2
mem0ai           1.0.1   PYSEC-2026-2636     2.0.0b2
mem0ai           1.0.1   PYSEC-2026-2636     2.0.0b2
msgpack          1.1.0   PYSEC-2026-3625     1.2.1
msgpack          1.1.0   PYSEC-2026-3625     1.2.1
nltk             3.9.1   PYSEC-2026-96       3.9.3
nltk             3.9.1   PYSEC-2026-3724     3.9.4
nltk             3.9.1   PYSEC-2026-2235     3.9.4
nltk             3.9.1   PYSEC-2026-2236     3.9.4
nltk             3.9.1   PYSEC-2026-97       3.9.3
nltk             3.9.1   PYSEC-2026-98
nltk             3.9.1   PYSEC-2026-98       3.9.3
nltk             3.9.1   PYSEC-2026-97
nltk             3.9.1   PYSEC-2026-96       3.9.3
nltk             3.9.1   PYSEC-2026-99       3.9.3
nltk             3.9.1   PYSEC-2026-597
nltk             3.9.1   PYSEC-2026-2085     3.9.4
nltk             3.9.1   PYSEC-2026-2236     3.9.4
nltk             3.9.1   PYSEC-2026-2237     3.9.4
nltk             3.9.1   PYSEC-2026-2235     3.9.4
nltk             3.9.1   PYSEC-2026-3583     3.10.0
nltk             3.9.1   PYSEC-2026-3582     3.10.0
nltk             3.9.1   PYSEC-2026-3584     3.10.0
nltk             3.9.1   PYSEC-2026-3583     3.10.0
nltk             3.9.1   PYSEC-2026-3582     3.10.0
nltk             3.9.1   PYSEC-2026-3584     3.10.0
nltk             3.9.1   PYSEC-2026-3657     3.9.3
nltk             3.9.1   PYSEC-2026-3657     3.9.3
nltk             3.9.1   PYSEC-2026-597      3.10.0
nltk             3.9.1   PYSEC-2026-3723     3.10.0
nltk             3.9.1   PYSEC-2026-3724     3.9.4
nltk             3.9.1   PYSEC-2026-3722     3.10.0
nltk             3.9.1   PYSEC-2026-3728     3.10.0
nltk             3.9.1   PYSEC-2026-3734     3.10.0
nltk             3.9.1   PYSEC-2026-3736     3.10.3
nltk             3.9.1   PYSEC-2026-3739     3.10.3
nltk             3.9.1   PYSEC-2026-3738     3.10.3
nltk             3.9.1   PYSEC-2026-3735     3.10.3
nltk             3.9.1   PYSEC-2026-3737     3.10.3
nltk             3.9.1   PYSEC-2026-3732     3.9.4
